time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,8,1,0.0,0.0,0,50.714205,6.131632,,116,
1,8,1,0.0,0.0,0,50.714215,6.131629,286.0,116,
2,8,1,1.04,1.04,0,50.714223,6.131624,286.0,113,
3,8,1,1.89,0.85,0,50.714227,6.131619,286.0,113,
4,8,1,2.66,0.76,0,50.714228,6.131615,286.0,113,
5,8,1,3.46,0.8,0,50.714226,6.131613,286.0,112,
6,8,1,4.62,1.22,0,50.71422,6.131614,286.0,111,
7,8,1,6.09,1.59,1,50.714211,6.131621,286.0,110,
8,8,1,7.56,1.47,1,50.714201,6.13163,286.0,108,
9,8,1,9.01,1.39,1,50.714192,6.131642,286.0,108,
10,8,1,10.35,1.13,1,50.714186,6.131653,286.0,106,
11,8,1,11.63,1.02,1,50.714183,6.131663,286.0,105,
12,8,1,12.88,1.01,1,50.71418,6.131673,286.0,104,
13,8,1,14.12,1.04,2,50.714175,6.131682,286.0,104,
14,8,1,15.37,1.08,2,50.714169,6.131691,286.0,107,
15,8,1,16.63,1.14,2,50.714162,6.131701,286.0,108,
16,8,1,17.89,1.14,2,50.714155,6.131713,285.0,109,
17,8,1,19.13,1.14,2,50.714148,6.131727,285.0,109,
18,8,1,20.38,1.16,2,50.714142,6.131745,286.0,111,
19,8,1,21.66,1.21,2,50.714137,6.131767,285.0,113,
20,8,1,22.99,1.35,3,50.714134,6.13179,285.0,113,
21,8,1,24.41,1.54,3,50.714134,6.131812,285.0,115,
22,8,1,25.88,1.59,3,50.714139,6.13183,285.0,115,
23,8,1,27.35,1.55,3,50.714147,6.131841,285.0,116,
24,8,1,28.82,1.65,3,50.714161,6.131843,285.0,115,
25,8,1,30.29,1.72,3,50.714178,6.131837,285.0,116,
26,8,1,31.76,1.78,4,50.714196,6.131825,285.0,114,
27,8,1,33.23,1.83,4,50.714214,6.131809,285.0,114,
28,8,1,34.71,1.87,4,50.71423,6.13179,285.0,114,
29,8,1,36.18,1.89,4,50.714241,6.131771,285.0,115,
30,8,1,37.66,1.91,4,50.714245,6.131751,285.0,116,
31,8,1,39.13,1.91,4,50.714245,6.131733,285.0,116,
32,8,1,40.61,1.9,5,50.714241,6.131716,285.0,117,
33,8,1,42.09,1.91,5,50.714234,6.1317,285.0,116,
34,8,1,43.57,1.89,5,50.714225,6.131685,285.0,116,
35,8,1,45.05,1.85,5,50.714217,6.131671,285.0,118,
36,8,1,46.54,1.78,5,50.714209,6.131659,285.0,117,
37,8,1,48.02,1.7,6,50.714201,6.131647,285.0,117,
38,8,1,49.5,1.62,6,50.714194,6.131637,285.0,116,
39,8,1,50.99,1.52,6,50.714187,6.131626,285.0,118,
40,8,1,52.47,1.42,6,50.714179,6.131615,285.0,118,
41,8,1,53.96,1.31,6,50.714171,6.131604,285.0,118,
42,8,1,55.44,1.24,6,50.714161,6.131593,285.0,117,
43,8,1,56.92,1.19,7,50.71415,6.131582,285.0,118,
44,8,1,58.4,1.17,7,50.714138,6.131572,286.0,118,
45,8,1,59.89,1.17,7,50.714125,6.131564,286.0,117,
46,8,1,61.37,1.16,7,50.714111,6.13156,286.0,119,
47,8,1,62.85,1.15,7,50.714097,6.13156,286.0,120,
48,8,1,64.33,1.15,7,50.714083,6.131562,286.0,120,
49,8,1,65.81,1.17,8,50.714069,6.131562,286.0,122,
50,8,1,67.29,1.21,8,50.714057,6.131559,286.0,124,
51,8,1,67.67,1.26,8,50.714046,6.131553,286.0,124,
52,8,1,68.97,1.3,8,50.714035,6.131547,286.0,121,
53,8,1,70.27,1.31,8,50.714025,6.131542,285.0,121,
54,8,1,71.57,1.3,9,50.714016,6.131537,285.0,120,
55,8,1,72.85,1.28,9,50.714006,6.131534,285.0,120,
56,8,1,74.13,1.27,9,50.713996,6.131531,286.0,120,
57,8,1,75.39,1.27,9,50.713985,6.131529,286.0,117,
58,8,1,75.39,1.26,9,50.713972,6.131528,285.0,114,
59,8,1,75.39,1.24,9,50.713958,6.131528,285.0,116,
60,8,1,78.61,1.24,10,50.713945,6.131526,285.0,114,
61,8,1,82.75,1.23,10,50.713936,6.131521,285.0,114,
62,8,1,84.24,1.19,10,50.713934,6.131511,285.0,113,
63,8,1,85.4,1.16,10,50.713936,6.1315,285.0,112,
64,8,1,86.55,1.15,10,50.713943,6.131492,285.0,110,
65,8,1,87.69,1.14,10,50.713952,6.13149,285.0,109,
66,8,1,87.69,1.13,11,50.713963,6.131492,285.0,109,
67,8,1,91.24,1.13,11,50.713975,6.131497,285.0,108,
68,8,1,93.71,1.13,11,50.713986,6.131503,285.0,107,
69,8,1,95.28,1.14,11,50.713997,6.131508,285.0,107,
70,8,1,96.92,1.15,11,50.714007,6.131511,285.0,106,
71,8,1,98.07,1.15,11,50.714016,6.131512,285.0,105,
72,8,1,99.22,1.15,11,50.714024,6.131511,285.0,105,
73,8,1,100.37,1.14,12,50.714032,6.131509,285.0,105,
74,8,1,101.49,1.12,12,50.71404,6.131505,285.0,103,
75,8,1,101.49,1.1,12,50.714048,6.131501,285.0,103,
76,8,1,103.57,1.1,12,50.714058,6.131496,285.0,103,
77,8,1,105.57,1.09,12,50.714067,6.131491,285.0,103,
78,8,1,106.84,1.08,12,50.714077,6.131487,285.0,104,
79,8,1,107.93,1.06,12,50.714084,6.131485,285.0,104,
80,8,1,108.81,1.03,13,50.714089,6.131484,285.0,103,
81,8,1,109.36,0.99,13,50.714092,6.131486,285.0,103,
82,8,1,110.33,0.97,13,50.71409,6.13149,285.0,103,
83,8,1,111.31,0.98,13,50.714085,6.131497,285.0,102,
84,8,1,112.3,0.99,13,50.714078,6.131507,285.0,98,
85,8,1,113.31,1.01,13,50.714069,6.13152,285.0,97,
86,8,1,113.31,1.02,13,50.714059,6.131535,285.0,98,
87,8,1,115.69,1.02,14,50.714048,6.131553,285.0,98,
88,8,1,118.62,1.05,14,50.714037,6.131572,285.0,98,
89,8,1,119.72,1.1,14,50.714026,6.131593,285.0,98,
90,8,1,120.91,1.19,14,50.714013,6.131612,285.0,98,
91,8,1,121.79,1.3,14,50.713999,6.131629,285.0,101,
92,8,1,127.65,1.41,14,50.713983,6.131641,285.0,101,
93,8,1,131.21,1.5,14,50.713964,6.131649,285.0,102,
94,8,1,133.29,1.55,14,50.713952,6.131655,285.0,104,
95,8,1,133.55,1.56,15,50.713951,6.131663,285.0,106,
96,8,1,135.12,1.56,15,50.713958,6.131669,285.0,106,
97,8,1,136.68,1.56,15,50.713969,6.131672,285.0,105,
98,8,1,138.23,1.55,15,50.71398,6.131674,285.0,106,
99,8,1,139.73,1.51,15,50.713991,6.131674,285.0,106,
100,8,1,141.18,1.45,15,50.714001,6.131673,285.0,107,
101,8,1,141.18,1.39,15,50.714009,6.131669,285.0,107,
102,8,1,141.18,1.33,16,50.714016,6.131661,285.0,108,
103,8,1,142.45,1.27,16,50.714023,6.131652,285.0,107,
104,8,1,143.68,1.23,16,50.714031,6.131644,285.0,105,
105,8,1,144.9,1.22,16,50.71404,6.131637,285.0,107,
106,8,1,144.9,1.22,16,50.714051,6.131633,285.0,107,
107,8,1,145.94,1.21,16,50.714062,6.131631,285.0,107,
108,8,1,147.74,1.21,16,50.714074,6.13163,285.0,106,
109,8,1,149.0,1.21,17,50.714085,6.13163,285.0,107,
110,8,1,150.27,1.22,17,50.714095,6.131631,285.0,105,
111,8,1,151.44,1.21,17,50.714103,6.131633,285.0,105,
112,8,1,152.14,1.2,17,50.714109,6.131633,285.0,103,
113,8,1,152.65,1.18,17,50.714112,6.131633,285.0,103,
114,8,1,153.2,1.14,17,50.714112,6.131631,285.0,102,
115,8,1,153.56,1.11,17,50.714112,6.131628,285.0,102,
116,8,1,154.37,1.06,18,50.714115,6.131626,285.0,101,
117,8,1,154.51,1.01,18,50.714122,6.131624,285.0,100,
118,8,1,156.01,0.97,18,50.714132,6.131622,285.0,100,
119,8,1,157.62,0.97,18,50.714146,6.131621,285.0,96,
120,8,1,159.35,0.97,18,50.714162,6.131618,285.0,94,
121,8,1,161.1,1.0,18,50.71418,6.131615,285.0,94,
122,8,1,162.9,1.07,18,50.7142,6.131611,285.0,94,
123,8,1,164.98,1.18,18,50.714221,6.131606,285.0,94,
124,8,1,167.51,1.32,19,50.714244,6.1316,285.0,95,
125,8,1,170.22,2.33,19,50.714267,6.131595,285.0,97,
126,8,1,173.11,2.48,19,50.714291,6.131589,285.0,99,
127,8,1,175.93,2.56,19,50.714316,6.131585,284.0,101,
128,8,1,178.71,2.59,19,50.71434,6.131581,284.0,99,
129,8,1,181.53,2.61,19,50.714365,6.131578,284.0,99,
130,8,1,184.48,2.56,19,50.714389,6.131575,284.0,98,
131,8,1,187.06,2.51,19,50.714413,6.131573,284.0,93,
132,8,1,189.76,2.53,20,50.714437,6.131571,284.0,95,
133,8,1,192.54,2.58,20,50.714461,6.13157,284.0,97,
134,8,1,195.56,2.6,20,50.714485,6.131568,284.0,96,
135,8,1,198.29,2.62,20,50.714508,6.131566,284.0,99,
