time,activityType,lapNumber,distance,speed,calories,lat,long,elevation,heartRate,cycles
0,0,1,0.0,0.0,0,50.776952,6.048176,206.7,84,0
1,0,1,0.0,0.0,0,50.776972,6.048142,206.7,94,0
2,0,1,3.3,2.96,0,50.776991,6.04811,206.7,95,0
3,0,1,6.4,2.97,0,50.777007,6.04808,206.6,96,0
4,0,1,9.66,2.88,0,50.777022,6.048053,206.6,99,0
5,0,1,12.94,2.97,0,50.777035,6.048029,206.6,100,0
6,0,1,16.15,2.99,0,50.777047,6.048007,206.6,101,8
7,0,1,19.2,2.84,1,50.777059,6.047988,206.6,101,3
8,0,1,22.09,2.52,1,50.777069,6.047971,206.5,103,3
9,0,1,24.73,2.15,1,50.777078,6.047958,206.5,108,3
10,0,1,27.27,1.61,1,50.777087,6.047947,206.5,112,3
11,0,1,29.65,1.45,1,50.777096,6.047939,206.5,113,3
12,0,1,31.87,1.17,1,50.777104,6.047934,206.5,114,3
13,0,1,33.92,0.96,1,50.777113,6.047932,206.4,118,3
14,0,1,35.84,0.66,2,50.777121,6.047933,206.4,121,3
15,0,1,37.68,0.48,2,50.77713,6.047937,206.4,122,4
16,0,1,39.43,0.49,2,50.777139,6.047945,206.4,124,3
17,0,1,41.13,0.41,2,50.777149,6.047956,206.3,126,2
18,0,1,42.86,0.57,2,50.77716,6.04797,206.3,127,4
19,0,1,44.6,1.08,2,50.777172,6.047987,206.3,129,3
20,0,1,46.38,1.3,2,50.777186,6.048004,206.3,130,2
21,0,1,48.21,1.62,2,50.777203,6.04802,206.2,132,4
22,0,1,50.13,1.88,2,50.777223,6.048032,206.2,132,3
23,0,1,52.05,2.09,2,50.777247,6.048039,206.2,134,3
24,0,1,53.98,2.09,2,50.777272,6.048045,206.1,136,3
25,0,1,55.9,2.09,3,50.777297,6.048048,206.1,138,3
26,0,1,57.83,2.1,3,50.777322,6.048052,206.0,139,3
27,0,1,59.76,2.1,3,50.777346,6.048056,206.0,140,3
28,0,1,61.78,2.11,3,50.777367,6.048063,205.9,140,2
29,0,1,63.87,2.11,3,50.777387,6.048073,205.9,141,4
30,0,1,66.01,2.12,3,50.777405,6.048087,205.9,140,2
31,0,1,68.23,2.12,3,50.777424,6.048106,205.9,142,4
32,0,1,70.52,2.13,3,50.777444,6.048131,205.9,145,3
33,0,1,72.89,2.13,4,50.777464,6.048157,205.8,145,3
34,0,1,75.27,2.14,4,50.777485,6.048176,205.8,148,2
35,0,1,77.62,2.14,4,50.777507,6.048185,205.8,149,4
36,0,1,80.0,2.14,4,50.777529,6.048184,205.7,149,3
37,0,1,82.41,2.14,4,50.777549,6.048179,205.6,147,3
38,0,1,84.8,2.15,4,50.777567,6.048172,205.6,144,2
39,0,1,87.12,2.15,4,50.777583,6.048166,205.5,146,3
40,0,1,89.38,2.15,5,50.777598,6.048163,205.4,147,3
41,0,1,91.62,2.15,5,50.777615,6.04816,205.4,146,4
42,0,1,93.88,2.15,5,50.777636,6.048159,205.3,145,2
43,0,1,96.2,2.15,5,50.77766,6.048158,205.2,148,4
44,0,1,98.52,2.15,5,50.777684,6.048158,205.1,150,3
45,0,1,100.79,2.15,5,50.777705,6.048158,205.1,150,2
46,0,1,103.05,2.16,5,50.777723,6.048159,205.0,150,4
47,0,1,105.27,2.16,6,50.777738,6.04816,204.9,150,3
48,0,1,107.45,2.16,6,50.777752,6.048162,204.9,151,3
49,0,1,109.63,2.16,6,50.777767,6.048166,204.8,152,3
50,0,1,111.81,2.15,6,50.777782,6.048171,204.8,152,3
51,0,1,111.81,2.15,6,50.777798,6.048176,204.7,154,3
52,0,1,111.81,2.15,6,50.777812,6.048182,204.7,157,3
53,0,1,111.81,2.14,6,50.777826,6.048188,204.7,156,3
54,0,1,112.29,2.14,6,50.777838,6.048194,204.6,156,3
55,0,1,113.85,2.13,6,50.777849,6.048199,204.6,158,2
56,0,1,113.85,2.12,6,50.777864,6.048203,204.5,160,3
57,0,1,113.85,2.11,6,50.777888,6.048208,204.5,162,3
58,0,1,116.28,2.1,6,50.777918,6.048211,204.3,163,3
59,0,1,116.28,2.1,6,50.777948,6.04821,204.2,163,3
60,0,1,116.28,2.11,6,50.777978,6.048204,204.1,162,3
61,0,1,118.85,2.11,7,50.778008,6.048192,204.0,163,3
62,0,1,126.17,2.12,7,50.778039,6.048181,203.9,163,3
63,0,1,129.0,2.12,7,50.778069,6.048172,203.8,160,3
64,0,1,131.8,2.13,7,50.7781,6.048166,203.6,159,3
65,0,1,134.72,2.14,7,50.778131,6.048162,203.5,159,4
66,0,1,138.48,2.16,8,50.778161,6.048159,203.4,159,2
67,0,1,141.5,2.17,8,50.778191,6.048158,203.3,158,3
68,0,1,144.67,2.19,8,50.778221,6.048159,203.2,158,3
69,0,1,150.6,2.2,8,50.77825,6.04816,203.1,156,3
70,0,1,153.93,2.22,8,50.778279,6.048162,203.0,157,3
71,0,1,160.71,2.23,9,50.778308,6.048164,202.9,157,4
72,0,1,167.31,2.26,9,50.778336,6.048167,202.8,157,2
73,0,1,170.84,2.31,9,50.778363,6.04817,202.9,157,4
74,0,1,174.03,2.39,10,50.77839,6.048173,202.9,157,2
75,0,1,177.3,2.5,10,50.778416,6.048177,203.0,155,3
76,0,1,180.57,2.63,10,50.778442,6.04818,203.0,155,3
77,0,1,183.71,2.76,10,50.778467,6.048183,203.1,155,4
78,0,1,183.71,2.83,10,50.778491,6.048186,203.1,155,2
79,0,1,183.71,2.88,10,50.778514,6.048188,203.2,156,3
80,0,1,186.52,2.86,10,50.778537,6.04819,203.2,152,3
81,0,1,187.74,2.83,10,50.778558,6.04819,203.3,153,4
82,0,1,190.21,2.79,10,50.778579,6.04819,203.3,154,2
83,0,1,192.68,2.79,11,50.7786,6.048189,203.4,157,3
84,0,1,195.61,2.79,11,50.778619,6.048187,203.4,158,3
85,0,1,198.06,2.79,11,50.778639,6.048186,203.4,155,3
86,0,1,200.65,2.78,11,50.778659,6.048184,203.5,157,4
87,0,1,202.22,2.77,11,50.778679,6.048183,203.5,159,3
88,0,1,208.43,2.74,12,50.778699,6.048183,203.5,159,2
89,0,1,211.27,2.7,12,50.778721,6.048184,203.6,161,4
90,0,1,212.99,2.66,12,50.778742,6.048185,203.6,161,2
91,0,1,214.71,2.62,12,50.778765,6.048187,203.7,163,4
92,0,1,216.93,2.57,12,50.778788,6.04819,203.7,162,2
93,0,1,219.68,2.54,12,50.778812,6.048193,203.8,162,4
94,0,1,222.81,2.51,12,50.778836,6.048196,203.8,162,2
95,0,1,225.96,2.49,12,50.77886,6.0482,203.9,163,4
96,0,1,229.33,2.48,13,50.778884,6.048204,204.0,165,3
97,0,1,232.82,2.49,13,50.77891,6.04821,204.0,166,3
98,0,1,235.83,2.5,13,50.778936,6.048218,204.1,167,2
99,0,1,238.67,2.51,13,50.778963,6.048229,204.2,167,3
100,0,1,241.58,2.52,13,50.778992,6.048246,204.3,168,3
101,0,1,241.58,2.54,13,50.779021,6.048267,204.4,167,3
102,0,1,246.44,2.56,14,50.779045,6.048293,204.6,167,3
103,0,1,250.8,2.58,14,50.779063,6.048323,204.7,167,3
104,0,1,254.12,2.6,14,50.779075,6.048357,204.9,168,3
105,0,1,257.36,2.61,14,50.779083,6.048393,205.0,167,3
106,0,1,260.27,2.62,14,50.779087,6.04843,205.1,166,3
107,0,1,263.05,2.63,15,50.779089,6.048469,205.3,166,2
108,0,1,265.91,2.64,15,50.779089,6.048507,205.4,165,3
109,0,1,268.65,2.65,15,50.779087,6.048544,205.5,166,3
110,0,1,271.43,2.65,15,50.779086,6.048581,205.7,167,3
111,0,1,273.98,2.66,15,50.779083,6.048616,205.8,166,3
112,0,1,276.35,2.66,15,50.77908,6.048651,205.9,167,3
113,0,1,278.71,2.66,15,50.779077,6.048685,206.0,168,3
114,0,1,281.0,2.66,16,50.779074,6.048719,206.1,169,2
115,0,1,283.27,2.66,16,50.779071,6.048752,206.2,169,3
116,0,1,285.6,2.66,16,50.779067,6.048785,206.3,168,3
117,0,1,288.05,2.66,16,50.779064,6.048818,206.4,166,3
118,0,1,290.81,2.66,16,50.779061,6.04885,206.5,165,3
119,0,1,293.24,2.66,16,50.779058,6.048883,206.6,167,3
120,0,1,293.24,2.66,16,50.779056,6.048915,206.7,165,3
121,0,1,293.24,2.66,16,50.779054,6.048948,206.8,166,2
